locality,species,month,year,socioeconomic_stratum,citizen_reports,abuse_cases,animals_seized,vet_emergencies,microchip_coverage,sterilization_rate,stray_density,prior_cases_6m,institutional_response_days,abandonment_risk
RAFAEL URIBE URIBE,CANINO,11,2024,1,11,15,2,27,0.2543,0.2349,44.65,11,3,MEDIUM
LA CANDELARIA,CANINO,9,2022,2,3,7,1,8,0.6272,0.3482,24.5,8,4,LOW
BOSA,CANINO,1,2022,1,13,23,7,40,0.058,0.1908,56.21,15,8,HIGH
RAFAEL URIBE URIBE,CANINO,3,2022,2,5,14,6,21,0.2106,0.2604,49.2,14,9,MEDIUM
TEUSAQUILLO,CANINO,7,2022,3,6,10,1,13,0.4524,0.4133,33.39,9,2,MEDIUM
LA CANDELARIA,CANINO,6,2023,3,4,6,1,11,0.5886,0.3635,26.06,8,10,LOW
KENNEDY,CANINO,2,2023,1,17,15,6,33,0.0909,0.2921,65.7,13,9,HIGH
USME,CANINO,6,2023,2,7,26,12,25,0.1433,0.204,52.79,13,14,HIGH
PUENTE ARANDA,CANINO,12,2024,4,9,17,3,29,0.3849,0.2228,43.85,10,2,MEDIUM
KENNEDY,CANINO,10,2022,2,10,18,6,29,0.1699,0.3526,50.48,14,2,HIGH
TUNJUELITO,FELINO,10,2024,3,16,15,7,29,0.2649,0.4074,39.03,8,5,MEDIUM
LOS MÁRTIRES,FELINO,5,2024,2,8,12,2,20,0.3529,0.2797,38.73,13,5,MEDIUM
ANTONIO NARIÑO,FELINO,6,2022,3,4,12,4,25,0.368,0.2081,43.22,7,4,MEDIUM
SUMAPAZ,CANINO,5,2023,3,0,2,0,12,0.6581,0.0816,7.28,2,6,LOW
ANTONIO NARIÑO,FELINO,3,2024,4,10,13,5,11,0.4021,0.369,38.09,17,9,MEDIUM
CIUDAD BOLÍVAR,FELINO,6,2024,1,20,21,6,21,0.02,0.2717,50.73,13,6,HIGH
ANTONIO NARIÑO,CANINO,11,2022,3,4,11,5,22,0.2893,0.2877,39.09,7,4,MEDIUM
FONTIBÓN,CANINO,4,2023,2,2,11,2,16,0.4911,0.2823,33.44,7,5,MEDIUM
ANTONIO NARIÑO,CANINO,8,2023,2,7,14,1,26,0.2987,0.3499,39.55,12,7,MEDIUM
ANTONIO NARIÑO,FELINO,3,2023,2,5,8,4,15,0.4296,0.389,36.28,13,8,MEDIUM
ANTONIO NARIÑO,CANINO,4,2024,3,8,9,3,21,0.3784,0.3144,36.25,13,6,MEDIUM
RAFAEL URIBE URIBE,FELINO,9,2023,2,10,24,6,32,0.3308,0.2494,48.66,9,2,HIGH
SAN CRISTÓBAL,FELINO,2,2023,3,9,24,7,21,0.2088,0.2565,45.48,8,8,HIGH
SAN CRISTÓBAL,CANINO,1,2022,2,14,20,7,29,0.0268,0.1426,56.42,21,4,HIGH
KENNEDY,CANINO,7,2023,2,11,19,8,31,0.0816,0.3229,59.71,12,11,HIGH
SAN CRISTÓBAL,FELINO,5,2023,3,6,18,7,23,0.2918,0.2719,42.04,6,6,MEDIUM
